,X distance [m],Magnetic Anomaly [nT]
0,0.0,-0.16846565386107043
1,1000.0,-0.18316560564207132
2,2000.0,-0.19937896140569775
3,3000.0,-0.21727810296486139
4,4000.0,-0.2370513412722059
5,5000.0,-0.25889888596575983
6,6000.0,-0.2830217094520759
7,7000.0,-0.30959409395221965
8,8000.0,-0.338696482734347
9,9000.0,-0.37014325707829654
10,10000.0,-0.4029983298521212
11,11000.0,-0.4340061385802695
12,12000.0,-0.4513400973185796
13,13000.0,-0.4000550200522232
14,14000.0,0.3403086990269052
15,15000.0,1.890421599349713
16,16000.0,1.8884693254905698
17,17000.0,1.472168441120361
18,18000.0,-0.6340596864581657
19,19000.0,-0.9955482466337336
20,20000.0,-1.186245205130999
21,21000.0,-1.3590681806529907
22,22000.0,-1.5421560255406694
23,23000.0,-1.7450671037368701
24,24000.0,-1.9729284053426301
25,25000.0,-2.229365856199696
26,26000.0,-2.517120644067277
27,27000.0,-2.837983430729144
28,28000.0,-3.192446258314319
29,29000.0,-3.579221484745921
30,30000.0,-3.9947452419804725
31,31000.0,-4.432806969553269
32,32000.0,-4.8844645621822815
33,33000.0,-5.338373443988315
34,34000.0,-5.781556405486923
35,35000.0,-6.200493128446078
36,36000.0,-6.582283816214983
37,37000.0,-6.91561356712281
38,38000.0,-7.191331623693128
39,39000.0,-7.40261016032059
40,40000.0,-7.5447813227440035
41,41000.0,-7.615018503684941
42,42000.0,-7.612026286556613
43,43000.0,-7.5358593869972506
44,44000.0,-7.387930826488385
45,45000.0,-7.171206764655352
46,46000.0,-6.890522647227464
47,47000.0,-6.552895847503102
48,48000.0,-6.16766823527107
49,49000.0,-5.746315398700689
50,50000.0,-5.301832678966396
