,X distance [m],P wave arrivals [s]
0,1050.0,0.434797068850555
1,1050.0,0.434797068850555
2,2049.9999999999995,0.6965646413177473
3,2049.9999999999995,0.6965646413177473
4,3050.0,0.9583322137849394
5,3050.0,0.9583322137849394
6,4049.9999999999995,1.2200997862521317
7,4049.9999999999995,1.2200997862521317
8,5050.0,1.481867358719324
9,5050.0,1.481867358719324
10,6049.999999999999,1.743634931186516
11,6049.999999999999,1.743634931186516
12,7050.0,2.005402503653708
13,7050.0,2.005402503653708
14,8049.999999999999,2.2165684517298914
15,8049.999999999999,2.2165684517298914
16,9049.999999999998,2.4189498141406633
17,9049.999999999998,2.4189498141406633
18,10049.999999999998,2.6213311765514353
19,10049.999999999998,2.6213311765514353
20,11050.0,2.8237125389622073
21,11050.0,2.8237125389622073
22,12050.0,3.0260939013729793
23,12050.0,3.0260939013729793
24,13050.0,3.2284752637837513
25,13050.0,3.2284752637837513
26,14049.999999999998,3.430856626194523
27,14049.999999999998,3.430856626194523
28,15050.0,3.6332379886052952
29,15050.0,3.6332379886052952
30,16049.999999999998,3.8356193510160668
31,16049.999999999998,3.8356193510160668
32,17050.0,4.03800071342684
33,17050.0,4.03800071342684
34,18050.0,4.261150390783042
35,18050.0,4.261150390783042
36,19049.999999999996,4.427991348178418
37,19049.999999999996,4.427991348178418
38,20050.0,4.594832305573795
39,20050.0,4.594832305573795
40,21049.999999999996,4.761673262969171
41,21049.999999999996,4.761673262969171
42,22050.0,4.928514220364548
43,22050.0,4.928514220364548
44,23049.999999999996,5.095355177759924
45,23049.999999999996,5.095355177759924
46,24049.999999999996,5.262196135155301
47,24049.999999999996,5.262196135155301
48,25050.0,5.429037092550677
49,25050.0,5.429037092550677
50,26049.999999999996,5.5958780499460525
51,26049.999999999996,5.5958780499460525
52,27050.0,5.762719007341429
53,27050.0,5.762719007341429
54,28050.0,5.929559964736805
55,28050.0,5.929559964736805
56,29050.0,6.096400922132182
57,29050.0,6.096400922132182
58,30049.999999999996,6.263241879527558
59,30049.999999999996,6.263241879527558
60,31049.999999999996,6.430082836922935
61,31049.999999999996,6.430082836922935
62,32049.999999999996,6.596923794318311
63,32049.999999999996,6.596923794318311
64,33050.0,6.763764751713687
65,33050.0,6.763764751713687
66,34050.0,6.930605709109064
67,34050.0,6.930605709109064
68,35050.0,7.097446666504441
69,35050.0,7.097446666504441
70,36049.99999999999,7.264287623899816
71,36049.99999999999,7.264287623899816
72,37049.99999999999,7.431128581295192
73,37049.99999999999,7.431128581295192
74,38050.0,7.613122684565402
75,38050.0,7.613122684565402
76,39050.0,7.7691820685334
77,39050.0,7.7691820685334
78,40049.99999999999,7.925241452501398
79,40049.99999999999,7.925241452501398
80,41049.99999999999,8.081300836469396
81,41049.99999999999,8.081300836469396
82,42050.0,8.237360220437395
83,42050.0,8.237360220437395
84,43050.0,8.393419604405391
85,43050.0,8.393419604405391
86,44050.0,8.54947898837339
87,44050.0,8.54947898837339
88,45049.99999999999,8.705538372341389
89,45049.99999999999,8.705538372341389
90,46049.99999999999,8.861597756309386
91,46049.99999999999,8.861597756309386
92,47050.0,9.017657140277384
93,47050.0,9.017657140277384
94,48050.0,9.173716524245382
95,48050.0,9.173716524245382
96,49049.99999999999,9.32977590821338
